Name,Price
AGRITECH,Final
SOTL,"3,072.10"
SUVENPHAR,396.00
SVPGLOB,628.00
VMART,7.05
MIDHANI,"1,873.10"
MTARTECH,351.50
JKTYRE,"1,700.00"
MAPMYINDIA,430.05
MBLINFRA,"1,611.05"
MSUMI,40.95
CLEDUCATE,61.10
KIRLOSENG,80.20
GPPL,755.00
RAIN,173.10
ELIN,152.95
SUKHJITS,131.00
KANPRPLA,417.10
DIXON,97.05
JKIL,"6,553.20"
TATAMTRDVR,542.45
RML,638.00
GRWRHITECH,640.20
LUPIN,"1,590.00"
HATHWAY,"1,591.00"
SASKEN,19.00
CHAMBLFERT,"1,398.05"
SMARTLINK,335.10
SJVN,158.00
FDC,100.40
EROSMEDIA,420.40
PPLPHARMA,18.60
DELHIVERY,117.75
HNDFDS,420.05
DPABHUSHAN,473.00
MANORG,700.00
WELENT,304.95
AHLADA,285.00
IEX,96.05
TATACOMM,132.00
GREENPANEL,"1,870.00"
DENORA,327.55
ATFL,"1,392.15"
RKEC,653.45
TATAMOTORS,76.05
VENUSREM,964.95
CONSOFINVT,285.10
EMSLIMITED,215.00
CMSINFO,366.00
BHARATRAS,376.00
SUBROS,"8,400.00"
POLYPLEX,491.00
ACI,766.80
GLENMARK,602.00
ALEMBICLTD,890.55
MOREPENLAB,78.90
FORTIS,39.00
BAJAJHIND,382.10
CLSEL,27.60
CONTROLPR,204.00
IDFCFIRSTB,887.05
AARTISURF,76.80
SANGHIIND,570.00
GODREJCP,98.00
MEGASOFT,"1,185.05"
JSWINFRA,70.00
VTL,213.50
PODDARMENT,400.00
KHADIM,330.05
TCI,303.00
LIBERTSHOE,765.05
JAYAGROGN,260.00
KSHITIJPOL,205.00
NAM-INDIA,5.25
ASTRAL,441.00
NMDC,"1,982.25"
SONAMAC,203.50
SOUTHBANK,130.00
ASHOKA,26.00
INDIGRID,144.60
BATAINDIA,130.10
ORICONENT,"1,390.00"
TEMBO,30.60
